,Thème,Question,A,B,C,D,Bonne réponse
💼 Stratégies d’investissement,Buy & Hold,"En Buy & Hold, il faut suivre :",Les indicateurs techniques uniquement,Les données fondamentales,Les tweets,Les taux d’intérêt seulement,B
💼 Stratégies d’investissement,Buy & Hold,Les ETF sont adaptés à cette stratégie car :,Ils sont spéculatifs,Ils sont fortement volatils,Ils offrent une exposition diversifiée à long terme,Ils sont illiquides,C
💼 Stratégies d’investissement,Buy & Hold,Buy & Hold' nécessite :,Une bonne connexion internet,Un courtier rapide,Une vision long terme,Un portefeuille crypto,C
💼 Stratégies d’investissement,Stratégie dividende,Une stratégie dividende consiste à :,Acheter des actions qui versent régulièrement des dividendes,Vendre ses actions dès qu’un dividende est annoncé,Investir uniquement dans des obligations,Acheter uniquement en baisse,A
💼 Stratégies d’investissement,Stratégie dividende,Le rendement du dividende se calcule par :,Dividende ÷ Cours de l’action,Cours ÷ Dividende,Dividende ÷ Bénéfice,Bénéfice ÷ Dette,A
💼 Stratégies d’investissement,Stratégie dividende,Une entreprise versant un dividende croissant :,Fait fuir les investisseurs,Indique une bonne santé financière,Est proche de la faillite,Est en démarrage,B
💼 Stratégies d’investissement,Stratégie dividende,Le payout ratio mesure :,Les ventes,La dette,La part du bénéfice distribuée en dividende,La croissance du chiffre d’affaires,C
💼 Stratégies d’investissement,Stratégie dividende,Un payout ratio > 100 % signifie :,Une entreprise en croissance,Un dividende financé par des réserves,Une excellente rentabilité,Une baisse du ROE,B
💼 Stratégies d’investissement,Stratégie dividende,Un investisseur dividende recherche :,Des entreprises sans bénéfices,Des sociétés en forte croissance sans dividende,Des sociétés stables et rentables,Des crypto-actifs,C
💼 Stratégies d’investissement,Stratégie dividende,Un dividende peut être :,Annuel ou trimestriel,Uniquement mensuel,Obligatoire,Sans impact sur le cours,A
💼 Stratégies d’investissement,Stratégie dividende,La date ex-dividende est :,La date de paiement,La date limite pour bénéficier du dividende,Sans importance,Fixée par l’AMF,B
💼 Stratégies d’investissement,Stratégie dividende,Les aristocrates du dividende sont :,Des actions très volatiles,Des entreprises augmentant leur dividende chaque année,Des startups,Des obligations à haut rendement,B
💼 Stratégies d’investissement,Stratégie dividende,Les dividendes réinvestis :,Réduisent la fiscalité,Augmentent la performance long terme,Ne changent rien,Suppriment la volatilité,B
💼 Stratégies d’investissement,Stratégie dividende,La stratégie dividende est particulièrement prisée par :,Les traders,Les jeunes actifs,Les retraités et investisseurs long terme,Les scalpeurs,C
💼 Stratégies d’investissement,Stratégie dividende,Une forte rentabilité du dividende (> 8 %) peut indiquer :,Un bon investissement sûr,Un risque de baisse du cours,Une obligation cachée,Un secteur technologique,B
💼 Stratégies d’investissement,Stratégie dividende,Une entreprise solide en dividende doit :,Avoir un historique de paiements stables,Changer souvent de stratégie,Réduire ses bénéfices,Émettre beaucoup d’actions,A
💼 Stratégies d’investissement,Stratégie dividende,Les ETF dividende suivent :,Des indices de croissance,Des actions très volatiles,Des indices de rendement élevé,Des crypto-monnaies,C
💼 Stratégies d’investissement,Stratégie dividende,Un dividende exceptionnel est :,Versé tous les ans,Lié à un événement ponctuel,Obligatoire par la loi,Fictif,B
💼 Stratégies d’investissement,Stratégie dividende,Le dividende par action (DPA) correspond à :,La capitalisation / nombre d’actions,Le bénéfice net / actions,La somme versée par action,Les actions gratuites,C
💼 Stratégies d’investissement,Stratégie dividende,Une entreprise peut suspendre son dividende si :,Elle veut investir,Elle est en difficulté,Elle change de PDG,Elle se développe trop,B
💼 Stratégies d’investissement,Stratégie dividende,Une stratégie dividende fonctionne mieux sur :,Les marchés émergents,"Les secteurs stables (banques, télécoms...)",Les biotechs,Les start-ups,B
💼 Stratégies d’investissement,Stratégie dividende,Les dividendes perçus sur un PEA sont :,Imposables comme en compte-titres,Exonérés d’impôt après 5 ans,Taxés à 60 %,Uniquement en actions,B
💼 Stratégies d’investissement,Stratégie dividende,La performance totale inclut :,Le dividende + l’évolution du cours,Les frais uniquement,La volatilité,Les dividendes bruts,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Qu'est-ce que le value investing ?,Acheter des actions peu chères par rapport à leurs fondamentaux,Investir dans des start-ups,Suivre les tendances de marché,Acheter des actions de croissance,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Qu'est-ce que le growth investing ?,Acheter des actions sous-évaluées,Investir dans des entreprises en croissance rapide,Éviter les dividendes,Investir uniquement en obligations,B
💼 Stratégies d’investissement,Value investing vs Growth investing,Le value investing privilégie :,Les entreprises à forte croissance,Les entreprises en perte,Les actions sous-évaluées,Les start-ups,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Le growth investing s’intéresse surtout à :,La valorisation actuelle,La croissance future des bénéfices,Le dividende,La dette,B
💼 Stratégies d’investissement,Value investing vs Growth investing,Un investisseur value cherchera :,Un PER élevé,Un rendement faible,Un faible ratio cours/valeur comptable,Des entreprises jeunes,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Le growth investing accepte souvent :,Un risque plus élevé pour plus de croissance,Des dividendes élevés,Des valorisations faibles,Peu de liquidités,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Le value investing repose sur :,Les dividendes uniquement,Les fondamentaux solides à prix réduit,Les rumeurs de marché,L’analyse technique,B
💼 Stratégies d’investissement,Value investing vs Growth investing,Benjamin Graham est reconnu comme :,Le père du growth investing,Le fondateur du value investing,Un trader haute fréquence,Un PDG de Tesla,B
💼 Stratégies d’investissement,Value investing vs Growth investing,Warren Buffett est associé à :,Le growth investing,Le day trading,Le value investing,L’analyse technique,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Une entreprise en croissance a souvent :,Un PER élevé,Un dividende stable,Une faible valorisation,Un P/B faible,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Une entreprise value a souvent :,Un cours élevé,Un PER élevé,Un P/B faible,Un dividende nul,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Le style value peut surperformer pendant :,Les bull markets,Les phases de crise ou de reprise,Les périodes inflationnistes,Les marchés haussiers prolongés,B
💼 Stratégies d’investissement,Value investing vs Growth investing,Le style growth est favorisé quand :,Les taux d’intérêt sont bas,L’inflation est forte,La croissance ralentit,Les dividendes augmentent,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Une action growth typique est :,Apple,TotalEnergies,Société Générale,Bouygues,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Une action value typique est :,Amazon,Tesla,Orange,PepsiCo,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Un investisseur value examine :,La croissance future,Les tendances de marché,Les fondamentaux actuels,Les annonces de résultats,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Le value investing cherche à :,Acheter à prix élevé,Suivre le marché,Acheter à prix cassé,Investir dans les ETF,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Le growth investing est basé sur :,Des dividendes,Des actifs tangibles,Une forte croissance future,Des dettes élevées,C
💼 Stratégies d’investissement,Value investing vs Growth investing,Les actions value sont souvent :,Sous-évaluées,Surévaluées,Volatiles,Privées,A
💼 Stratégies d’investissement,Value investing vs Growth investing,Le style growth convient à :,Un horizon court terme,Un horizon long terme,Une stratégie défensive,Une faible volatilité,B
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur est généralement considéré comme défensif ?,Technologie,Santé,Luxe,Énergie,B
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur est cyclique ?,Pharmaceutique,Services aux collectivités,Automobile,Alimentation,C
💼 Stratégies d’investissement,Investissement sectoriel,Pourquoi investir par secteur ?,Pour spéculer uniquement,Pour diversifier son portefeuille,Pour éviter les obligations,Pour acheter des actions chères,B
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur bénéficie souvent de taux d'intérêt bas ?,Banques,Assurances,Technologie,Énergie,C
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur souffre en cas de hausse de l’inflation ?,Matières premières,Banques,Immobilier,Santé,C
💼 Stratégies d’investissement,Investissement sectoriel,Le secteur de la consommation de base inclut :,Apple et Amazon,Nestlé et Procter & Gamble,TotalEnergies et Exxon,Tesla et BMW,B
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur est lié à la transition énergétique ?,Technologie,Finance,Énergies renouvelables,Immobilier,C
💼 Stratégies d’investissement,Investissement sectoriel,Un ETF sectoriel permet :,D’investir dans toutes les actions,D’investir dans un secteur spécifique,D’acheter une obligation,D’éviter les marchés,B
💼 Stratégies d’investissement,Investissement sectoriel,"En cas de crise, les investisseurs privilégient :",Le secteur bancaire,Les valeurs technologiques,Les secteurs défensifs,Les cryptomonnaies,C
💼 Stratégies d’investissement,Investissement sectoriel,Un secteur peut être surpondéré dans :,Un portefeuille diversifié,Un ETF monde,Un PEA bancaire,Un indice sectoriel,D
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur est souvent cyclique ?,Télécommunications,Industrie,Éducation,Assurance,B
💼 Stratégies d’investissement,Investissement sectoriel,Un secteur défensif est :,Peu sensible au cycle économique,Très volatil,Lié à la mode,Réservé aux pros,A
💼 Stratégies d’investissement,Investissement sectoriel,Quel secteur est typiquement inclus dans un portefeuille ISR ?,Pétrole,Énergie fossile,Technologie propre,Tabac,C
💼 Stratégies d’investissement,Investissement sectoriel,Les valeurs bancaires dépendent fortement :,Du climat,Des taux d’intérêt,Du PEA,Des dividendes,B
💼 Stratégies d’investissement,Investissement sectoriel,Les valeurs du luxe sont sensibles :,À la croissance économique mondiale,Aux taux fixes,Aux matières premières,À la météo,A
💼 Stratégies d’investissement,Investissement sectoriel,Le secteur technologique a connu une croissance forte grâce à :,La pandémie,L’énergie fossile,Les taux hauts,Les crises politiques,A
💼 Stratégies d’investissement,Investissement sectoriel,La diversification sectorielle réduit :,Les rendements,La volatilité,La fiscalité,La performance,B
💼 Stratégies d’investissement,Investissement sectoriel,Investir dans l'immobilier coté se fait via :,Des SCPI,Des ETF,Des SIIC/REIT,Des obligations,C
💼 Stratégies d’investissement,Investissement sectoriel,Un secteur peut être influencé par :,La politique,Les tendances sociales,Les taux,Tout cela,D
💼 Stratégies d’investissement,Investissement sectoriel,L’analyse sectorielle aide à :,Faire du trading haute fréquence,Choisir des secteurs porteurs,Éviter la bourse,Gagner à tous les coups,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Qu’est-ce que la rotation sectorielle ?,Changer de courtier,Passer d’un secteur à un autre selon le cycle économique,Acheter des ETF sectoriels uniquement,Vendre toutes ses actions,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,"En phase de reprise économique, on privilégie :",Les secteurs défensifs,Les services publics,Les secteurs cycliques,Les obligations,C
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,"En période de récession, on privilégie :",Le luxe,Les biens de consommation de base,La technologie,Les matières premières,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Qu’est-ce que l’arbitrage sectoriel ?,Investir dans toutes les actions,Profiter des écarts de valorisation entre secteurs,Acheter des obligations,Diversifier en crypto,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Quel est le risque de la rotation sectorielle ?,Moins de diversification,Trop de dividendes,Pas de volatilité,Moins de rendement,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Les investisseurs pratiquent l’arbitrage sectoriel pour :,Maximiser la fiscalité,Profiter des cycles économiques,Réduire les coûts de transaction,Sortir du marché,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,La rotation sectorielle est souvent liée à :,L’analyse fondamentale,L’analyse technique,Les politiques monétaires,Les cycles économiques,D
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,"En période d’expansion, les investisseurs vont vers :",Les utilities,Les valeurs défensives,Les cycliques,Les dividendes,C
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,L’arbitrage sectoriel se base sur :,Des critères ESG,Les valorisations relatives,Les dividendes,La liquidité seule,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Un bon timing de rotation permet :,D’éviter la fiscalité,De capter la performance sectorielle,D’acheter plus d’or,De sortir du PEA,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Le secteur de la santé est typiquement :,Cyclique,Spéculatif,Défensif,À éviter,C
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,L’énergie est souvent privilégiée en cas de :,Crise géopolitique,Inflation,Hausse des taux,Tout cela,D
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,La tech chute souvent quand :,Les taux montent,L’inflation baisse,L’or monte,Les banques montent,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,La rotation sectorielle s’observe via :,Les performances comparées,Les taux,Les dividendes,Les bilans,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,L’arbitrage entre secteurs se fait souvent via :,ETF sectoriels,Obligations,Commodities,Crowdfunding,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Un portefeuille actif utilise :,Rotation et arbitrage sectoriel,ETF monde uniquement,Cash à 100 %,SCPI,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,"En fin de cycle, on revient souvent vers :",Les cycliques,Les défensifs,La crypto,Le luxe,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,Le secteur financier bénéficie de :,Hausse des taux,Chômage,Récession,Pétrole,A
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,La tech est un secteur :,Défensif,Cyclic,Très régulé,Obligataire,B
💼 Stratégies d’investissement,Arbitrage et rotation sectorielle,La rotation sectorielle peut être :,Active ou passive,Immobile,Interdite,Spéculative uniquement,A
💼 Stratégies d’investissement,Réagir face à un krach boursier,Que faire en cas de krach si l’on investit long terme ?,Vendre immédiatement,Acheter plus à bon prix,Convertir tout en cash,Attendre les dividendes,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Une stratégie classique face à un krach est :,Vendre en panique,Acheter plus via DCA,Changer de courtier,Investir dans des cryptos,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,L’une des premières règles pendant un krach est :,Ne pas consulter ses comptes,Agir rapidement,Suivre la foule,Garder son sang-froid,D
💼 Stratégies d’investissement,Réagir face à un krach boursier,Que signifie 'panic selling' ?,Investir dans des valeurs refuges,Vendre en urgence sans réflexion,Acheter en masse,Investir dans l’or,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,"En période de forte chute, il est recommandé de :",Diversifier davantage,Mettre tout sur une valeur sûre,Sortir totalement,Spéculer,A
💼 Stratégies d’investissement,Réagir face à un krach boursier,Le krach boursier de 2008 a été causé par :,La pandémie,Les subprimes,La guerre en Irak,La crise énergétique,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Les obligations d'État sont :,Très volatiles,Risquées en cas de crise,Moins sensibles aux krachs,Interdites en période de crise,C
💼 Stratégies d’investissement,Réagir face à un krach boursier,Que permet un fonds en euros pendant un krach ?,Des rendements élevés,Une sécurité relative,Des pertes maîtrisées,Un effet de levier,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,"En cas de panique sur les marchés, les actifs refuges sont :",Les small caps,Les matières premières,L’immobilier papier,L’or et les obligations,D
💼 Stratégies d’investissement,Réagir face à un krach boursier,Une diversification géographique aide à :,Augmenter le risque,Réduire les pertes potentielles,Suivre un seul marché,Simplifier la fiscalité,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Quel comportement est déconseillé pendant un krach ?,Analyser les fondamentaux,Renforcer les positions,Suivre ses émotions,Revoir son allocation,C
💼 Stratégies d’investissement,Réagir face à un krach boursier,Un investisseur patient peut :,Subir plus de pertes,Profiter des baisses pour investir,Vendre au mauvais moment,Spéculer à court terme,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Un 'bear market' est défini comme :,Une chute de 5 %,Une chute de 10 %,Une baisse de 20 % ou plus,Un ralentissement sectoriel,C
💼 Stratégies d’investissement,Réagir face à un krach boursier,L’assurance vie en unités de compte subit :,Aucune variation,Une baisse potentielle,Un rendement garanti,Des pénalités,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Quel est l’effet du levier en cas de krach ?,Protège le portefeuille,Amplifie les pertes,Réduit la volatilité,Amortit les pertes,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,L’or est souvent utilisé comme :,Actif spéculatif,Actif défensif,Support de trading,Action technologique,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Réagir à un krach implique souvent de :,Changer de banque,Revoir son horizon de placement,Éviter tout investissement,Miser tout sur les cryptos,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,Le 'market timing' est :,Facile à prédire,Souvent inefficace,Toujours rentable,Interdit par la loi,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,L’horizon long terme permet :,De maximiser les pertes,De ne pas tenir compte des baisses temporaires,D’éviter la diversification,D’anticiper les crises,B
💼 Stratégies d’investissement,Réagir face à un krach boursier,"Pendant un krach, la psychologie de l’investisseur doit :",Réagir au bruit médiatique,Suivre les forums,Rester disciplinée,Spéculer davantage,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Un portefeuille équilibré contient :,Uniquement des actions,Des actions et obligations,Seulement du cash,Que des ETF,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,L’objectif principal d’un portefeuille équilibré est :,Maximiser le risque,Éviter la diversification,Optimiser le couple rendement/risque,Générer du cash immédiat,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel indicateur mesure la diversification ?,Le PER,La beta,La corrélation,Le RSI,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Un portefeuille équilibré combine :,Volatilité et spéculation,Actifs risqués et sécurisés,Technologie uniquement,Dividendes uniquement,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Un exemple d’allocation équilibrée est :,100 % actions,50 % actions / 50 % obligations,100 % cryptos,100 % SCPI,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel produit apporte une sécurité au portefeuille ?,Les actions,Les cryptos,Les obligations d'État,Les ETF sectoriels,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel est l’avantage des ETF dans un portefeuille ?,Spéculation,Concentration,Diversification,Rendement garanti,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quelle part allouer au cash dans un portefeuille équilibré ?,0,5-15 %,"0,5","0,75",B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,L’ajout d’actifs internationaux permet :,Une fiscalité avantageuse,Une diversification géographique,Moins de risque de change,Plus de levier,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel profil est adapté à un portefeuille équilibré ?,Conservateur,Spéculateur,Modéré,Trader haute fréquence,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Les obligations servent à :,Booster la croissance,Réduire la volatilité,Maximiser le risque,Éviter les pertes,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Un portefeuille équilibré évolue selon :,Le cycle économique,Les actualités politiques,Les crypto tendances,Le CAC 40 uniquement,A
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quelle stratégie d’investissement est adaptée ?,Tout ou rien,Pleine exposition permanente,Rééquilibrage périodique,Market timing,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Un portefeuille équilibré sur 20 ans peut viser :,Une croissance régulière,Une spéculation élevée,Des pertes certaines,Une absence de rendement,A
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Une bonne diversification implique :,Une concentration sur 3 titres,Un seul secteur,Plusieurs classes d’actifs,Uniquement des actions américaines,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel actif apporte souvent stabilité ?,Cryptomonnaies,Obligations,Small caps,Start-ups,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Rééquilibrer un portefeuille consiste à :,Changer tout,Racheter les pires actifs,Ajuster selon l’allocation cible,Vendre au hasard,C
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Quel outil permet une bonne répartition automatique ?,Un PEA,Un Robo-advisor,Un Plan Épargne Logement,Un contrat de prêt,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Pourquoi investir dans plusieurs zones géographiques ?,Augmenter la fiscalité,Limiter les risques spécifiques à un pays,Doubler le rendement,Suivre la mode,B
💼 Stratégies d’investissement,Construire un portefeuille équilibré,Le profil de risque est important car :,Il détermine la banque,Il définit l’allocation adaptée,Il est obligatoire par la loi,Il bloque le portefeuille,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Le rééquilibrage d’un portefeuille vise à :,Maximiser le risque,Revenir à l’allocation cible,Changer de stratégie,Augmenter les frais,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Quand faut-il rééquilibrer un portefeuille ?,Tous les jours,En cas de fort écart par rapport à l’allocation cible,Uniquement en janvier,Avant une crise,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Rééquilibrer signifie :,Revendre les gagnants pour racheter les perdants,Garder tous les actifs inchangés,Investir dans un seul secteur,Changer de devise,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Un des avantages du rééquilibrage :,Évite de prendre trop de risques,Augmente la volatilité,Supprime les obligations,Permet l’effet de levier,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Rééquilibrer permet :,Une meilleure répartition du risque,Moins de diversification,Plus de frais,Une fiscalité allégée,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Le rééquilibrage automatique est proposé par :,Les banques classiques,Les robo-advisors,Les notaires,Les assurances,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Une forte hausse des actions entraîne :,Une surpondération de cette classe,Une diversification accrue,Une baisse des obligations,Une hausse du cash,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Une stratégie de rééquilibrage est efficace :,Pour le court terme,Pour la spéculation,Sur le long terme,En période de crise uniquement,C
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Le rééquilibrage peut être :,Temporaire ou stratégique,Illégal,Inutile,Obligatoire,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Une baisse d’une classe d’actifs peut nécessiter :,Son exclusion,Un renforcement via le rééquilibrage,Sa surpondération,Sa fusion avec d'autres actifs,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Un portefeuille 60/40 signifie :,60 % de frais,60 % obligations / 40 % actions,60 % actions / 40 % obligations,60 % cash,C
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Le rééquilibrage peut générer :,Des opportunités de marché,Des pertes garanties,Un rendement fixe,Des dividendes,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Quelle fréquence est typique ?,Tous les jours,Une fois tous les 5 ans,Trimestrielle ou annuelle,Uniquement à la retraite,C
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Les frais de transaction liés au rééquilibrage :,Sont inexistants,Doivent être pris en compte,Sont offerts,Sont imposables,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Une allocation fixe suppose :,Un ajustement après chaque variation,Zéro mouvement,Des frais fixes,Une performance garantie,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Quel est le risque sans rééquilibrage ?,Une allocation déséquilibrée,Une baisse de dividendes,Une stabilité excessive,Une augmentation des liquidités,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Les ETF facilitent :,Les rééquilibrages rapides,La spéculation uniquement,Le trading quotidien,L’absence de diversification,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Un portefeuille piloté est :,Rééquilibré automatiquement,Géré sans contrôle,Investi dans un seul pays,Fermé au public,A
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,L’allocation cible dépend de :,La fiscalité,L’âge et du profil de risque,La monnaie locale,La performance passée,B
💼 Stratégies d’investissement,Rééquilibrage de portefeuille,Une vente pour rééquilibrage peut entraîner :,Une réduction des risques,Un gain automatique,Une clôture du compte,Un effet fiscal neutre,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,L’inflation signifie :,Baisse généralisée des prix,Hausse généralisée des prix,Stabilité économique,Déflation monétaire,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,L’actif historiquement protecteur contre l’inflation :,L’or,Les obligations d’État,Les cryptos,Les small caps,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les entreprises avec pouvoir de fixation des prix :,Souffrent de l’inflation,Transfèrent l'inflation aux clients,Ne vendent plus,Délèguent,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,L’immobilier en période d’inflation :,Perd de la valeur,Est généralement recherché,Devient risqué,Est interdit,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les obligations à taux fixe en inflation :,Protègent bien,Perdent de leur attrait,Restent stables,Voient leur taux monter,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Le taux directeur est :,Fixé par le marché,Déterminé par la banque centrale,Inconnu,Fixé par les banques commerciales,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les matières premières :,Bénéficient souvent de l’inflation,N’ont aucun lien,Perdent toute valeur,Deviennent illégales,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,"En récession, les actions cycliques :",Montent fortement,Sont généralement pénalisées,Sont protégées,Distribuent plus,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Un portefeuille défensif privilégie :,Les technos,Les secteurs de base,Les émergents,Les cryptos,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les actions versant des dividendes réguliers :,Sont recherchées en temps d’incertitude,Sont à fuir,Ne paient rien,Sont volatiles,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,"En période de récession, l’investisseur doit :",Se positionner à court terme,Rechercher les fondamentaux solides,Vendre tout,Changer de devise,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les banques centrales augmentent les taux pour :,Favoriser l’endettement,Lutter contre l’inflation,Baisser le chômage,Soutenir l'immobilier,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Un bon indicateur d’inflation :,Le taux de change,Le chômage,L’indice des prix à la consommation (CPI),Le cours du pétrole,C
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Une stratégie efficace en inflation :,Investir dans les obligations longues,Diminuer son exposition aux taux fixes,Vendre l’or,Acheter des voitures,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les valeurs refuges en temps de crise :,Sont évitées,"Sont recherchées (ex : or, obligations souveraines)",Deviennent volatiles,Sont remplacées par les ETF,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,L'inflation réduit :,La valeur réelle du cash,Les dettes,Le dividende brut,La croissance mondiale,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Le secteur de la santé en récession :,Souvent stable,Très spéculatif,À éviter,Volatile,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,Les obligations indexées sur l’inflation :,Perdent leur intérêt,Protègent contre l'inflation,Sont interdites,Réduisent les dividendes,B
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,"En récession, quelle stratégie fonctionne souvent ?",Buy & Hold sur entreprises solides,Trading agressif,Spéculation,Changement fréquent d’allocation,A
💼 Stratégies d’investissement,Investir en période d'inflation ou de récession,L’objectif en période d’inflation/récession :,Réduire l’exposition aux actifs sensibles,Acheter à crédit,Investir tout dans les actions,Rester sans cash,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Que signifie une faible corrélation entre PIB et marchés boursiers ?,Les deux évoluent toujours ensemble,Les marchés sont plus liés à l'inflation,Les marchés peuvent évoluer indépendamment de l’économie,L’économie réelle détermine tout,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Quelle donnée de l’économie réelle a le plus d’impact immédiat sur les marchés ?,Le taux de chômage,Le PIB,Les résultats d’entreprises,Le taux de pauvreté,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Un marché émergent est caractérisé par :,Une faible croissance,Un haut niveau d’innovation,Une croissance rapide mais instable,Une monnaie forte,C
